DATE,,,,,,4/7/2016,4/7/2016,4/8/2016,4/8/2016,4/9/2016,4/9/2016,4/10/2016,4/10/2016,4/11/2016,4/11/2016,4/12/2016,4/12/2016,4/13/2016,4/13/2016,4/14/2016,4/14/2016,4/15/2016,4/15/2016,4/16/2016,4/16/2016,4/17/2016,4/17/2016,4/18/2016,4/18/2016,4/19/2016,4/19/2016,4/20/2016,4/20/2016,4/27/2016,4/27/2016,4/28/2016,4/28/2016
Egg pod ID,Species,Temp (C),Daylength,Site,Notes,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead
F74_LV_S_dodg_B1,dodg,LV,S,B1,,9,0,12,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FD1_LV_S_dodg_C1,dodg,LV,S,C1,,12,0,16,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F75_LV_L_dodg_C1,dodg,LV,L,C1,,13,0,14,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
F82_LV_L_dodg_C1,dodg,LV,L,C1,,10,0,15,0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,
F72_HV_S_dodg_B1,dodg,HV,S,B1,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F11_HV_S_dodg_B1,dodg,HV,S,B1,,12,0,12,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1_HV_S_dodg_C1,dodg,HV,S,C1,,9,0,16,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F84_HV_S_dodg_C1,dodg,HV,S,C1,,11,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
F73_HV_L_dodg_B1,dodg,HV,L,B1,,,,9,0,8,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,
FZ1_HV_L_dodg_C1,dodg,HV,L,C1,,,,11,0,10,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,
FX1_LV_L_dodg_C1,dodg,LV,L,C1,,,,13,0,13,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,
F01B_LV_L_dodg_C1,dodg,LV,L,C1,Duplicate,,,12,0,12,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,
F75_LV_L_dodg_B1,dodg,LV,L,B1,,,,9,0,9,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,
FA1_LV_S_dodg_C1,dodg,LV,S,C1,,,,11,0,9,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,
F4_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,4,0,6,1,6,1,,,,,,,,,,,,,,,,,,,,,,
F45B_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,1,1,10,1,11,1,,,,,,,,,,,,,,,,,,,,,,
F14_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,5,1,5,2,3,1,,,,,,,,,,,,,,,,,,,,,,
F10_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,4,0,6,1,5,1,,,,,,,,,,,,,,,,,,,,,,
F15_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,4,1,7,1,8,1,,,,,,,,,,,,,,,,,,,,,,
F22_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,4,1,5,0,6,0,,,,,,,,,,,,,,,,,,,,,,
F7_HV_S_dodg_B1,dodg,HV,S,B1,,,,,,,,6,0,7,0,8,1,,,6,3,,,,,,,,,,,,,,,,
F48_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,7,0,7,0,8,0,,,,,,,,,,,,,,,,,,,,
F28_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,4,1,5,1,5,1,,,,,,,,,,,,,,,,,,,,
F76_HV_S_dodg_C1,dodg,HV,S,C1,,,,,,,,3,0,2,0,3,0,,,3,0,,,,,,,,,,,,,,,,
F3_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,6,0,6,0,8,0,,,,,,,,,,,,,,,,,,,,
F45A_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,5,0,2,0,5,0,,,,,,,,,,,,,,,,,,,,
F23_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,
F26_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,6,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,
F77B_HV_L_dodg_C1,dodg,HV,L,C1,,,,,,,,3,0,2,1,3,0,,,,,,,,,,,,,,,,,,,,
FB1_HV_L_dodg_C1,dodg,HV,L,C1,,,,,,,,2,2,1,0,2,1,,,,,,,,,,,,,,,,,,,,
F5_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,2,1,3,0,2,0,,,,,,,,,,,,,,,,,,,,
F57A_LV_S_dodg_B1,dodg,LV,S,B1,,,,,,,,9,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,
FW1_LV_S_dodg_C1,dodg,LV,S,C1,,,,,,,,3,1,2,0,2,1,,,,,,,,,,,,,,,,,,,,
F40_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,,,4,0,8,0,8,1,,,,,,,,,,,,,,,,,,,,
F9_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,4,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,
F8A_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,4,0,9,0,9,0,,,,,,,,,,,,,,,,,,
F6_LV_S_dodg_B1,dodg,LV,S,B1,,,,,,,,,,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,
F16_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,
F11_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,5,0,3,1,3,2,,,,,,,,,,,,,,,,,,
F43_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,
F63_LV_S_dodg_B1,dodg,LV,S,A1,,,,,,,,,,3,0,3,1,5,1,,,,,,,,,,,,,,,,,,
F51_LV_S_dodg_B1,dodg,LV,S,B1,,,,,,,,,,2,0,2,0,0,2,,,,,,,,,,,,,,,,,,
F38A_LV_S_dodg_B1,dodg,LV,S,B1,all dead 4/26,,,,,,,,,3,0,3,0,2,1,,,,,,,,,,,,,,,,,,
F25A_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,4,0,3,2,3,3,,,,,,,,,,,,,,,,,,
F21_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,3,0,2,1,2,1,,,,,,,,,,,,,,,,,,
F70_HV_L_dodg_C1,dodg,HV,L,C1,,,,,,,,,,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,
F55_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,,,,,1,0,2,0,3,0,,,,,,,,,,,,,,,,,,
F42_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,8,0,9,0,10,0,,,,,,,,,,,,,,,,,,
F38D_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,,,,,1,0,2,0,3,0,,,,,,,,,,,,,,,,,,
F49_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,5,0,5,0,7,1,,,,,,,,,,,,,,,,,,
F20_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,7,0,3,4,3,4,,,,,,,,,,,,,,,,,,
F29_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,
F8B_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,7,0,8,0,8,0,,,,,,,,,,,,,,,,,,
F35_LV_L_dodg_A1,dodg,LV,L,A1,all dead 5/3,,,,,,,,,2,0,3,0,4,0,,,,,,,,,,,,,,,,,,
F19_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,3,0,2,1,,,,,,,,,,,,,,,,,,
F64_LV_L_dodg_C1,dodg,LV,L,C1,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,
F27_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,4,0,6,0,,,,,,,,,,,,,,,,,,
F44_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,4,0,4,1,,,,,,,,,,,,,,,,,,
F12_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,2,0,3,0,1,2,,,,,,,,,,,,,,,,,,
F38C_HV_S_dodg_B1,dodg,HV,S,B1,,,,,,,,,,4,0,5,0,4,1,4,1,,,,,,,,,,,,,,,,
F20A_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,,,8,0,11,0,11,0,11,0,,,,,,,,,,,,,,,,
F25B_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,,,5,0,4,3,3,4,2,5,,,,,,,,,,,,,,,,
F71_HV_S_dodg_C1,dodg,HV,S,C1,,,,,,,,,,4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,
F1_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,
F37_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,,,4,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,
F13_HV_S_dodg_A1,dodg,HV,S,A1,Only 1 and dead,,,,,,,,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,
F38B_LV_L_dodg_B1,dodg,LV,L,B1,,,,,,,,,,,,3,0,3,0,3,0,,,,,,,,,,,,,,,,
F18_LV_L_dodg_B1,dodg,LV,L,B1,,,,,,,,,,,,6,0,6,0,6,0,,,,,,,,,,,,,,,,
F41_LV_S_dodg_B1,dodg,LV,S,B1,,,,,,,,,,,,3,1,2,3,2,3,,,,,,,,,,,,,,,,
F2A_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,,,,,2,0,2,0,2,0,,,,,,,,,,,,,,
F24_HV_S_dodg_A1,dodg,HV,S,A1,,,,,,,,,,,,,,2,0,1,1,1,1,,,,,,,,,,,,,,
F32B_HV_S_dodg_B1,dodg,HV,S,B1,Miscount on 4/13? ,,,,,,,,,,,,,2,0,2,1,2,1,,,,,,,,,,,,,,
F62_LV_L_dodg_B1,dodg,LV,L,B1,,,,,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,
F56_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,,,,,3,1,3,1,2,1,,,,,,,,,,,,,,
F2B_HV_L_dodg_A1,dodg,HV,L,A1,all dead 4/14,,,,,,,,,,,,,1,0,0,1,?,?,,,,,,,,,,,,,,
F32A_LV_L_dodg_B1,dodg,LV,L,B1,,,,,,,,,,,,,,,,2,0,2,0,2,0,,,,,,,,,,,,
F?_HV_L_pell_C1,pell,HV,L,C1,"possible miscount on first hatching, difficult to see against egg matrix, not moving around very much",,,,,,,,,,,,,,,,,,,16,1,17,0,1,0,,,,,,,,
F58_HV_S_dodg_C1,dodg,HV,S,C1,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,,,,,,,,
F61_HV_S_dodg_B1,dodg,HV,S,C1,,,,,,,,,,,,,,,,,,,,1,0,0,1,12,2,,,,,,,,
FE_HV_S_pell_C1,pell,HV,S,C1,,,,,,,,,,,,,,,,,,,,8,1,12,2,13,1,,,,,,,,
FUN1_LV_S_pell_B1,pell,LV,S,B1,,,,,,,,,,,,,,,,,,,,,,14,0,15,1,,,,,,,,
FG_HV_L_pell_C1,pell,HV,L,C1,5/2/2016: egg pod label and communal box label do not match.  Egg pod label is FUN8_pell_B1.  Used eggpod label for 3rd+ instars,,,,,,,,,,,,,,,,,,,,,3,0,9,0,13,0,,,,,,
FUNI0_HV_L_pell_B1,pell,HV,L,B1,,,,,,,,,,,,,,,,,,,,,,8,0,8,0,8,0,,,,,,
FUN7_HV_L_pell_B1,pell,HV,L,B1,,,,,,,,,,,,,,,,,,,,,,12,0,11,1,7,5,,,,,,
FUN6_HV_S_pell_B1,pell,HV,S,B1,,,,,,,,,,,,,,,,,,,,,,3,0,4,0,9,0,,,,,,
FUN12_HV_S_pell_C1,pell,HV,S,C1,,,,,,,,,,,,,,,,,,,,,,5,3,5,3,4,1,,,,,,
FH_LV_S_pell_B1,pell,LV,S,B1,,,,,,,,,,,,,,,,,,,,,,,,13,0,13,0,13,0,,,,
FUN5_HV_S_pell_B1,pell,HV,S,B1,,,,,,,,,,,,,,,,,,,,,,,,8,0,9,1,9,1,,,,
F1_HV_S_pell_B1,pell,HV,S,B1,all dead 4/26,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,,,,
F11_LV_L_pell_C1,pell,LV,L,C1,,,,,,,,,,,,,,,,,,,,,,,,15,0,25,0,26,0,,,,
FG_LV_S_pell_C1,pell,LV,S,C1,all dead 5/4/2016,,,,,,,,,,,,,,,,,,,,,(No data taken),(No data taken) ,9,2,11,0,9,2,,,,
FUN3_LV_L_pell_B1,pell,LV,L,B1,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,14,0,,,,
FUN4_LV_L_pell_B1,pell,LV,L,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,
F16_HV_S_pell_RR,pell,HV,S,RR,all dead ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0
